reference_area,ref_area,series,decade,var,value
Belgium,BEL,contr_unit_profit,2000-09,mean,0.7826812231930738
Belgium,BEL,contr_unit_profit,2000-09,sd,1.0939808171305447
Belgium,BEL,contr_unit_profit,2010-19,mean,1.0062250649471982
Belgium,BEL,contr_unit_profit,2010-19,sd,0.6010351334698866
Belgium,BEL,contr_unit_profit,2020-,mean,1.769557347659322
Belgium,BEL,contr_unit_profit,2020-,sd,1.6961205447881826
Belgium,BEL,contr_unit_tax,1990-99,mean,0.3762676775576216
Belgium,BEL,contr_unit_tax,1990-99,sd,0.2642159374698987
Belgium,BEL,contr_unit_tax,2000-09,mean,0.03150871954980623
Belgium,BEL,contr_unit_tax,2000-09,sd,0.29928337322538123
Belgium,BEL,contr_unit_tax,2010-19,mean,0.17275350138582493
Belgium,BEL,contr_unit_tax,2010-19,sd,0.3795356461997354
Belgium,BEL,contr_unit_tax,2020-,mean,0.22414931733847088
Belgium,BEL,contr_unit_tax,2020-,sd,1.0765439662157608
Belgium,BEL,gdp,1990-99,mean,56190.455
Belgium,BEL,gdp,1990-99,sd,3087.081670526389
Belgium,BEL,gdp,2000-09,mean,76256.81999999999
Belgium,BEL,gdp,2000-09,sd,8668.753625202504
